date,region,margin
10/29/2019,Vermont,-15
10/29/2019,Washington,-15
10/29/2019,Colorado,-5
10/29/2019,Virginia,-5
10/29/2019,Nevada,-5
10/29/2019,Maine,-1
10/29/2019,Michigan,-1
10/29/2019,Minnesota,-1
10/29/2019,New Hampshire,-1
10/29/2019,Arizona,0
10/29/2019,Florida,0
10/29/2019,North Carolina,0
10/29/2019,Pennsylvania,0
10/29/2019,Wisconsin,0
10/29/2019,Georgia,1
10/29/2019,Iowa,1
10/29/2019,Maine 2nd CD,1
10/29/2019,Nebraska 2nd CD,1
10/29/2019,Ohio,1
10/29/2019,Texas,5
10/29/2019,Alabama,15
10/29/2019,Alaska,15
10/29/2019,Arkansas,15
10/29/2019,Idaho,15
10/29/2019,Indiana,15
10/29/2019,Kansas,15
10/29/2019,Kentucky,15
10/29/2019,Louisiana,15
10/29/2019,Mississippi,15
10/29/2019,Missouri,15
10/29/2019,Montana,15
10/29/2019,Nebraska,15
10/29/2019,Nebraska 1st CD,15
10/29/2019,Nebraska 3rd CD,15
10/29/2019,North Dakota,15
10/29/2019,Oklahoma,15
10/29/2019,South Carolina,15
10/29/2019,South Dakota,15
10/29/2019,Tennessee,15
10/29/2019,Utah,15
10/29/2019,West Virginia,15
10/29/2019,Wyoming,15
03/09/2020,California,-15
03/09/2020,Connecticut,-15
03/09/2020,Delaware,-15
03/09/2020,Washington DC,-15
03/09/2020,Hawaii,-15
03/09/2020,Illinois,-15
03/09/2020,Maine 1st CD,-15
03/09/2020,Maryland,-15
03/09/2020,Massachusetts,-15
03/09/2020,New Jersey,-15
03/09/2020,New Mexico,-15
03/09/2020,New York,-15
03/09/2020,Oregon,-15
03/09/2020,Rhode Island,-15
03/09/2020,Vermont,-15
03/09/2020,Washington,-15
03/09/2020,Colorado,-5
03/09/2020,Virginia,-5
03/09/2020,Nevada,-5
03/09/2020,Maine,-1
03/09/2020,Minnesota,-1
03/09/2020,New Hampshire,-1
03/09/2020,Arizona,0
03/09/2020,Florida,0
03/09/2020,Nebraska 2nd CD,0
03/09/2020,Michigan,0
