year,state_po,district,candidate,party,voteshare
1976,CO,4,Thiel,independent,1.885367
1976,CO,4,Ogden,democrat,34.836529
1976,CO,5,Hores,democrat,33.569119
1976,CO,5,Armstrong,republican,66.430881
1976,CT,1,Burke,american independent,0.589278
1976,CT,1,Cotter,democrat,57.082497
1976,CT,1,McDonough,u.s. labor,0.493167
1976,CT,1,Fazio,republican,41.810766
1976,CT,2,Dodd,democrat,65.061010
1976,CT,2,Jackson,republican,34.081292
1976,CT,2,Discepolo,indpendent,0.846754
1976,CT,3,Cossette,american independent,0.601465
1976,CT,3,Fishman,communist,1.323763
1976,CT,3,Pucciano,republican,43.439048
1976,CT,3,Giaimo,democrat,54.626914
1976,CT,4,Peterson,democrat,37.057860
1976,CT,4,Solymossy,conservative,0.327967
1976,CT,4,McKinney,republican,61.011530
1976,CT,4,Cunningham,american independent,1.602643
1976,CT,5,Adanti,democrat,32.745556
1976,CT,5,Sarasin,republican,66.504721
1976,CT,5,Kozak,american independent,0.738287
1976,CT,6,Moffett,democrat,56.615191
1976,CT,6,Marietta,independent,0.421318
1976,CT,6,Upson,republican,42.955938
1976,DE,0,Shipley,democrat,47.614199
1976,DE,0,Valenti,u.s. labor,0.073459
1976,DE,0,Green,prohibition,0.322198
1976,DE,0,Evans,republican,51.438269
1976,DE,0,Lopresti,american,0.390543
1976,DE,0,Hollon,socialist labor,0.161332
1976,FL,1,Sikes,democrat,100.000000
1976,FL,2,Fuqua,democrat,100.000000
1976,FL,3,Bennett,democrat,100.000000
1976,FL,4,Chappell,democrat,100.000000
1976,FL,5,Saunders,democrat,41.026122
1976,FL,5,Kelly,republican,58.973878
1976,FL,6,Cazares,democrat,34.807831
1976,FL,6,Young,republican,65.184869
1976,FL,7,Owens,republican,34.284051
1976,FL,7,Gibbons,democrat,65.715949
1976,FL,8,Ireland,democrat,58.017221
1976,FL,8,Johnson,republican,41.982779
1976,FL,9,Rosier,democrat,21.915890
1976,FL,9,Frey,republican,78.084110
1976,FL,10,Bafalis,republican,66.323086
1976,FL,10,Sikes,democrat,33.676914
1976,FL,11,Adams,american,8.884026
1976,FL,11,Rogers,democrat,91.115974
1976,FL,12,Burke,republican,53.898913
1976,FL,12,Friedman,democrat,46.087424
1976,FL,13,Spiegelman,republican,21.667617
1976,FL,13,Lehman,democrat,78.332383
1976,FL,14,Pepper,democrat,72.871764
1976,FL,14,Estrella,republican,27.128236
1976,FL,15,Cobb,republican,29.576794
1976,FL,15,Fascell,democrat,70.423206
1976,GA,1,Ginn,democrat,100.000000
1976,GA,2,Mathis,democrat,99.771937
1976,GA,3,Brinkley,democrat,88.733763
1976,GA,3,Dugan,republican,11.265285
1976,GA,4,Warren,republican,31.685058
1976,GA,4,Levitas,democrat,68.314942
1976,GA,5,Young,democrat,66.676385
1976,GA,5,Gadrix,republican,33.317368
1976,GA,6,Gingrich,republican,48.288557
1976,GA,6,Flynt,democrat,51.707304
1976,GA,7,Collins,republican,44.906666
1976,GA,7,McDonald,democrat,55.086159
1976,GA,8,Evans,democrat,69.563380
1976,GA,8,Adams,republican,30.436620
1976,GA,9,Jenkins,democrat,78.995096
1976,GA,9,Wofford,republican,20.894689
1976,GA,10,Barnard,democrat,100.000000
1976,HI,1,Rohlfing,republican,39.058299
1976,HI,1,Hoshijo,independents for godly government,17.301347
1976,HI,1,Heftel,democrat,43.640354
1976,HI,2,Cate,peoples,1.542611
1976,HI,2,Penaroza,independents for godly government,2.217183
1976,HI,2,Akaka,democrat,79.511080
1976,HI,2,Inouye,republican,15.321687
1976,HI,2,Smith,libertarian,1.407440
1976,ID,1,Pursley,democrat,45.392746
1976,ID,1,Symms,republican,54.607254
1976,ID,2,Kress,democrat,49.417710
1976,ID,2,Hansen,republican,50.582290
1976,IL,1,Simonsen,workers,0.153804
1976,IL,1,Metcalfe,democrat,92.305449
1976,IL,1,Pulley,socialist workers,0.144322
1976,IL,1,Rayner,republican,7.396150
1976,IL,2,Murphy,democrat,84.675558
1976,IL,2,Leak,republican,15.323777
1976,IL,3,Russo,democrat,58.865978
1976,IL,3,Collin,white power,0.681391
1976,IL,3,Buikema,republican,40.452631
1976,IL,4,Derwinski,republican,65.788240
1976,IL,4,Rodger,democrat,34.211580
1976,IL,5,Fary,democrat,76.945297
1976,IL,5,Krok,republican,23.054703
1976,IL,6,Clancy,democrat,39.402702
1976,IL,6,Hyde,republican,60.597298
1976,IL,7,Ward,republican,15.230611
1976,IL,7,Collins,democrat,84.769389
1976,IL,8,Rostenkowski,democrat,80.541085
1976,IL,8,Urbaszewski,republican,19.458915
1976,IL,9,Yates,democrat,72.146311
1976,IL,9,Wajerski,republican,27.845405
1976,IL,10,Young,republican,49.952907
1976,IL,10,Mikva,democrat,50.047093
1976,IL,11,Reber,republican,32.605242
1976,IL,11,Annunzio,democrat,67.392276
1976,IL,12,Frank,democrat,27.161784
1976,IL,12,Crane,republican,72.838216
1976,IL,13,Deslauriers,independent,2.899565
1976,IL,13,McClory,republican,66.797755
1976,IL,13,Cummings,democrat,30.302680
1976,IL,14,Fese,democrat,25.574750
1976,IL,14,Erlenborn,republican,74.425250
1976,IL,15,Hall,democrat,46.089228
1976,IL,15,Corcoran,republican,53.910772
1976,IL,16,Anderson,republican,67.918206
1976,IL,16,Eytalis,democrat,32.081794
1976,IL,17,Karlock,democrat,41.787359
1976,IL,17,OBrien,republican,58.212641
1976,IL,18,Michel,republican,57.728852
1976,IL,18,Ryan,democrat,42.271148
1976,IL,19,Railsback,republican,68.498693
1976,IL,19,Craver,democrat,31.501144
1976,IL,20,Mack,democrat,36.428747
1976,IL,20,Findley,republican,63.571253
1976,IL,21,Madigan,republican,74.462466
1976,IL,21,Scott,democrat,25.536447
1976,IL,22,Shipley,democrat,61.433075
1976,IL,22,McGinnis,republican,38.566925
1976,IL,23,Drenovac,republican,21.373160
1976,IL,23,Price,democrat,78.626840
1976,IL,24,Simon,democrat,67.376056
1976,IL,24,Prineas,republican,32.623944
1976,IN,1,Benjamin,democrat,71.304977
1976,IN,1,Billings,republican,28.695023
1976,IN,2,Fithian,democrat,54.745049
1976,IN,2,Erwin,republican,44.499523
1976,IN,2,Logan,american,0.755428
1976,IN,3,Thorson,republican,43.100335
1976,IN,3,Brademas,democrat,56.899665
1976,IN,4,Roush,democrat,44.585560
1976,IN,4,Quayle,republican,54.374997
1976,IN,4,Gran,american,1.039443
1976,IN,5,Stout,democrat,38.255640
1976,IN,5,Hillis,republican,61.744360
1976,IN,6,Crane,republican,45.089214
1976,IN,6,Evans,democrat,54.910786
1976,IN,7,Tipton,democrat,37.304688
1976,IN,7,Myers,republican,62.695313
1976,IN,8,Cornwell,democrat,50.462907
1976,IN,8,Bell,republican,49.537093
1976,IN,9,Hamilton,democrat,100.000000
1976,IN,10,Frazier,republican,40.162132
1976,IN,10,Sharp,democrat,59.837868
1976,IN,11,Buell,republican,39.002080
1976,IN,11,Eineman,american,0.591580
1976,IN,11,Jacobs,democrat,60.406340
1976,IA,1,Smith,american,0.230109
1976,IA,1,Mezvinsky,democrat,47.832427
1976,IA,1,Leach,republican,51.937463
1976,IA,2,Oxley,american,0.237106
1976,IA,2,Blouin,democrat,50.344659
1976,IA,2,Riley,republican,49.055977
1976,IA,2,Roberson,independent,0.362259
1976,IA,3,Rapp,democrat,43.544496
1976,IA,3,Grassley,republican,56.455504
1976,IA,4,Smith,democrat,69.093822
1976,IA,4,Minor,republican,30.906178
1976,IA,5,Harkin,democrat,64.864244
1976,IA,5,Fulk,republican,34.143180
1976,IA,5,Hayes,american,0.992576
1976,IA,6,Soper,republican,31.460288
1976,IA,6,Bedell,democrat,67.427097
1976,IA,6,Mincer,american,1.112615
1976,KS,1,Yowell,democrat,26.933819
1976,KS,1,Sebelius,republican,73.066181
1976,KS,2,Keys,democrat,50.694552
1976,KS,2,Ijams,american,1.105449
1976,KS,2,Soggin,prohibition,0.764607
1976,KS,2,Freeman,republican,47.435392
1976,KS,3,Hyatt,american,2.314151
1976,KS,3,Rhoads,democrat,28.974145
1976,KS,3,Winn,republican,68.705974
1976,KS,4,Shriver,republican,48.464011
1976,KS,4,Cowdrey,american,1.266409
1976,KS,4,Glickman,democrat,50.269579
1976,KS,5,Olson,democrat,36.174394
1976,KS,5,Skubitz,republican,60.663253
1976,KS,5,Rutherford,american,3.162353
1976,KY,1,Bersky,republican,17.995516
1976,KY,1,Hubbard,democrat,82.004484
1976,KY,2,Baker,republican,39.642530
1976,KY,2,Natcher,democrat,60.354415
1976,KY,3,Ramsey,republican,41.223072
1976,KY,3,Mazzoli,democrat,57.193202
1976,KY,3,Chambers,american,1.583726
1976,KY,4,Snyder,republican,55.869274
1976,KY,4,Winterberg,democrat,44.130726
1976,KY,5,Cullum,american,0.747722
1976,KY,5,Smith,democrat,32.649047
1976,KY,5,Carter,republican,66.592678
1976,KY,6,McCord,american,6.005617
1976,KY,6,Breckinridge,democrat,93.991274
1976,KY,7,Perkins,democrat,73.227652
1976,KY,7,Thomas,republican,26.772348
1976,LA,1,Livingston,republican,43.412889
1976,LA,1,Tonry,democrat,47.221924
1976,LA,1,Rarick,independent,9.365186
1976,LA,2,Boggs,democrat,92.562509
1976,LA,2,Hillery,independent,7.437491
1976,LA,3,Scheuermann,democrat,26.687626
1976,LA,3,Treen,republican,73.312374
1976,LA,4,Waggonner,democrat,100.000000
1976,LA,5,Spooner,republican,47.450242
1976,LA,5,Huckaby,democrat,52.549758
1976,LA,6,Moore,republican,65.219096
1976,LA,6,Blieux,democrat,34.780904
1976,LA,7,Breaux,democrat,83.348268
1976,LA,7,Huff,republican,16.651732
1976,LA,8,Courtney,independent,5.784897
1976,LA,8,Long,democrat,94.215103
1976,ME,1,Barton,democrat,42.623449
1976,ME,1,Emery,republican,57.376551
1976,ME,2,Cooney,democrat,19.654106
1976,ME,2,Cohen,republican,77.109685
