date,region,candidate,party,voteshare,version
11/7/2000,Shelby__KY,Other,NA,0.00439629455173497,20191203
11/7/2000,Shelby__MO,Gore,democrat,0.387473134786613,20191203
11/7/2000,Shelby__MO,Bush,republican,0.594412035615597,20191203
11/7/2000,Shelby__MO,Nader,green,0.0113601473748849,20191203
11/7/2000,Shelby__MO,Other,NA,0.00675468222290451,20191203
11/7/2000,Shelby__OH,Gore,democrat,0.335180477885104,20191203
11/7/2000,Shelby__OH,Bush,republican,0.634265378749365,20191203
11/7/2000,Shelby__OH,Nader,green,0.0199288256227758,20191203
11/7/2000,Shelby__OH,Other,NA,0.0106253177427555,20191203
11/7/2000,Shelby__TN,Gore,democrat,0.565408085997238,20191203
11/7/2000,Shelby__TN,Bush,republican,0.420946979257917,20191203
11/7/2000,Shelby__TN,Nader,green,0.00849282119047973,20191203
11/7/2000,Shelby__TN,Other,NA,0.00515211355436445,20191203
11/7/2000,Shelby__TX,Gore,democrat,0.35835646862854,20191203
11/7/2000,Shelby__TX,Bush,republican,0.632093281510272,20191203
11/7/2000,Shelby__TX,Nader,green,0.00610771793448084,20191203
11/7/2000,Shelby__TX,Other,NA,0.00344253192670738,20191203
11/7/2000,Shenandoah__VA,Gore,democrat,0.305840022142264,20191203
11/7/2000,Shenandoah__VA,Bush,republican,0.666758926100194,20191203
11/7/2000,Shenandoah__VA,Nader,green,0.0203432050927207,20191203
11/7/2000,Shenandoah__VA,Other,NA,0.00705784666482148,20191203
11/7/2000,Sherburne__MN,Gore,democrat,0.392703097129885,20191203
11/7/2000,Sherburne__MN,Bush,republican,0.545257013134425,20191203
11/7/2000,Sherburne__MN,Nader,green,0.0486784498135236,20191203
11/7/2000,Sherburne__MN,Other,NA,0.0133614399221664,20191203
11/7/2000,Sheridan__KS,Gore,democrat,0.188717259905977,20191203
11/7/2000,Sheridan__KS,Bush,republican,0.760241773002015,20191203
11/7/2000,Sheridan__KS,Nader,green,0.0369375419744795,20191203
11/7/2000,Sheridan__KS,Other,NA,0.0141034251175285,20191203
11/7/2000,Sheridan__MT,Gore,democrat,0.357251908396947,20191203
11/7/2000,Sheridan__MT,Bush,republican,0.598473282442748,20191203
11/7/2000,Sheridan__MT,Nader,green,0.0315521628498728,20191203
11/7/2000,Sheridan__MT,Other,NA,0.0127226463104326,20191203
11/7/2000,Sheridan__ND,Gore,democrat,0.173491379310345,20191203
11/7/2000,Sheridan__ND,Bush,republican,0.761853448275862,20191203
11/7/2000,Sheridan__ND,Nader,green,0.0140086206896552,20191203
11/7/2000,Sheridan__ND,Other,NA,0.0506465517241379,20191203
11/7/2000,Sheridan__NE,Gore,democrat,0.152173913043478,20191203
11/7/2000,Sheridan__NE,Bush,republican,0.817158385093168,20191203
11/7/2000,Sheridan__NE,Nader,green,0.0209627329192547,20191203
11/7/2000,Sheridan__NE,Other,NA,0.00970496894409938,20191203
11/7/2000,Sheridan__WY,Gore,democrat,0.272147760706113,20191203
11/7/2000,Sheridan__WY,Bush,republican,0.688460281137627,20191203
11/7/2000,Sheridan__WY,Nader,green,0.0169990192873488,20191203
11/7/2000,Sheridan__WY,Other,NA,0.0223929388689114,20191203
11/7/2000,Sherman__KS,Gore,democrat,0.253914988814318,20191203
11/7/2000,Sherman__KS,Bush,republican,0.706189410887397,20191203
11/7/2000,Sherman__KS,Nader,green,0.0223713646532438,20191203
11/7/2000,Sherman__KS,Other,NA,0.017524235645041,20191203
11/7/2000,Sherman__NE,Gore,democrat,0.330791788856305,20191203
11/7/2000,Sherman__NE,Bush,republican,0.628739002932551,20191203
11/7/2000,Sherman__NE,Nader,green,0.0281524926686217,20191203
11/7/2000,Sherman__NE,Other,NA,0.012316715542522,20191203
11/7/2000,Sherman__OR,Gore,democrat,0.306967984934087,20191203
11/7/2000,Sherman__OR,Bush,republican,0.639359698681733,20191203
11/7/2000,Sherman__OR,Nader,green,0.0338983050847458,20191203
11/7/2000,Sherman__OR,Other,NA,0.019774011299435,20191203
11/7/2000,Sherman__TX,Gore,democrat,0.123817712811694,20191203
11/7/2000,Sherman__TX,Bush,republican,0.858125537403267,20191203
11/7/2000,Sherman__TX,Nader,green,0.00945829750644884,20191203
11/7/2000,Sherman__TX,Other,NA,0.00859845227858985,20191203
11/7/2000,Shiawassee__MI,Gore,democrat,0.481718294121299,20191203
11/7/2000,Shiawassee__MI,Bush,republican,0.490905704885468,20191203
11/7/2000,Shiawassee__MI,Nader,green,0.0198336333726488,20191203
11/7/2000,Shiawassee__MI,Other,NA,0.00754236762058477,20191203
11/7/2000,Shoshone__ID,Gore,democrat,0.413184772516249,20191203
11/7/2000,Shoshone__ID,Bush,republican,0.534633240482823,20191203
11/7/2000,Shoshone__ID,Nader,green,0.0170844939647168,20191203
11/7/2000,Shoshone__ID,Other,NA,0.0350974930362117,20191203
11/7/2000,Sibley__MN,Gore,democrat,0.366325835037491,20191203
11/7/2000,Sibley__MN,Bush,republican,0.557191547375596,20191203
11/7/2000,Sibley__MN,Nader,green,0.0492160872528971,20191203
11/7/2000,Sibley__MN,Other,NA,0.027266530334015,20191203
11/7/2000,Sierra__CA,Gore,democrat,0.292365998917163,20191203
11/7/2000,Sierra__CA,Bush,republican,0.634542501353546,20191203
11/7/2000,Sierra__CA,Nader,green,0.0465619924201408,20191203
11/7/2000,Sierra__CA,Other,NA,0.02652950730915,20191203
11/7/2000,Sierra__NM,Gore,democrat,0.368294810292194,20191203
11/7/2000,Sierra__NM,Bush,republican,0.593327518534671,20191203
11/7/2000,Sierra__NM,Nader,green,0.0287832533798517,20191203
11/7/2000,Sierra__NM,Other,NA,0.00959441779328391,20191203
11/7/2000,Silver_Bow__MT,Gore,democrat,0.536849667724361,20191203
11/7/2000,Silver_Bow__MT,Bush,republican,0.377117883015027,20191203
11/7/2000,Silver_Bow__MT,Nader,green,0.0524456684427947,20191203
11/7/2000,Silver_Bow__MT,Other,NA,0.0335867808178172,20191203
11/7/2000,Simpson__KY,Gore,democrat,0.443509615384615,20191203
11/7/2000,Simpson__KY,Bush,republican,0.544127747252747,20191203
11/7/2000,Simpson__KY,Nader,green,0.00652472527472527,20191203
11/7/2000,Simpson__KY,Other,NA,0.00583791208791209,20191203
11/7/2000,Simpson__MS,Gore,democrat,0.337058700647587,20191203
11/7/2000,Simpson__MS,Bush,republican,0.653227491121788,20191203
11/7/2000,Simpson__MS,Nader,green,0.00407353248381032,20191203
11/7/2000,Simpson__MS,Other,NA,0.00564027574681429,20191203
11/7/2000,Sioux__IA,Gore,democrat,0.146202014701879,20191203
11/7/2000,Sioux__IA,Bush,republican,0.833174516743806,20191203
11/7/2000,Sioux__IA,Nader,green,0.0106180234141029,20191203
11/7/2000,Sioux__IA,Other,NA,0.0100054451402124,20191203
11/7/2000,Sioux__ND,Gore,democrat,0.695485110470701,20191203
11/7/2000,Sioux__ND,Bush,republican,0.258405379442843,20191203
11/7/2000,Sioux__ND,Nader,green,0.0153698366954851,20191203
11/7/2000,Sioux__ND,Other,NA,0.0307396733909702,20191203
11/7/2000,Sioux__NE,Gore,democrat,0.13031914893617,20191203
11/7/2000,Sioux__NE,Bush,republican,0.836436170212766,20191203
11/7/2000,Sioux__NE,Nader,green,0.023936170212766,20191203
11/7/2000,Sioux__NE,Other,NA,0.00930851063829787,20191203
11/7/2000,Siskiyou__CA,Gore,democrat,0.319037287451435,20191203
11/7/2000,Siskiyou__CA,Bush,republican,0.615470003531964,20191203
11/7/2000,Siskiyou__CA,Nader,green,0.0439981835612291,20191203
11/7/2000,Siskiyou__CA,Other,NA,0.0214945254553711,20191203
11/7/2000,Skagit__WA,Gore,democrat,0.451835471030517,20191203
11/7/2000,Skagit__WA,Bush,republican,0.490114993365767,20191203
11/7/2000,Skagit__WA,Nader,green,0.0457762052189297,20191203
11/7/2000,Skagit__WA,Other,NA,0.0122733303847855,20191203
11/7/2000,Skamania__WA,Gore,democrat,0.412664783427495,20191203
11/7/2000,Skamania__WA,Bush,republican,0.50635593220339,20191203
11/7/2000,Skamania__WA,Nader,green,0.0593220338983051,20191203
11/7/2000,Skamania__WA,Other,NA,0.0216572504708098,20191203
11/7/2000,Slope__ND,Gore,democrat,0.192307692307692,20191203
11/7/2000,Slope__ND,Bush,republican,0.714932126696833,20191203
11/7/2000,Slope__ND,Nader,green,0.0384615384615385,20191203
11/7/2000,Slope__ND,Other,NA,0.0542986425339367,20191203
11/7/2000,Smith__KS,Gore,democrat,0.244505494505495,20191203
11/7/2000,Smith__KS,Bush,republican,0.702380952380952,20191203
11/7/2000,Smith__KS,Nader,green,0.0361721611721612,20191203
11/7/2000,Smith__KS,Other,NA,0.0169413919413919,20191203
11/7/2000,Smith__MS,Gore,democrat,0.248161764705882,20191203
11/7/2000,Smith__MS,Bush,republican,0.741115196078431,20191203
11/7/2000,Smith__MS,Nader,green,0.0039828431372549,20191203
11/7/2000,Smith__MS,Other,NA,0.00674019607843137,20191203
11/7/2000,Smith__TN,Gore,democrat,0.664670658682635,20191203
11/7/2000,Smith__TN,Bush,republican,0.324442025040827,20191203
11/7/2000,Smith__TN,Nader,green,0.00571584104518236,20191203
11/7/2000,Smith__TN,Other,NA,0.00517147523135547,20191203
11/7/2000,Smith__TX,Gore,democrat,0.27167458432304,20191203
11/7/2000,Smith__TX,Bush,republican,0.714568487727633,20191203
11/7/2000,Smith__TX,Nader,green,0.00903932435998944,20191203
11/7/2000,Smith__TX,Other,NA,0.00471760358933756,20191203
11/7/2000,Smyth__VA,Gore,democrat,0.411925042589438,20191203
11/7/2000,Smyth__VA,Bush,republican,0.560477001703578,20191203
11/7/2000,Smyth__VA,Nader,green,0.0111584327086882,20191203
11/7/2000,Smyth__VA,Other,NA,0.0164395229982964,20191203
11/7/2000,Snohomish__WA,Gore,democrat,0.515755754959113,20191203
11/7/2000,Snohomish__WA,Bush,republican,0.436183124092239,20191203
11/7/2000,Snohomish__WA,Nader,green,0.035904578102306,20191203
11/7/2000,Snohomish__WA,Other,NA,0.0121565428463421,20191203
11/7/2000,Snyder__PA,Gore,democrat,0.275367961996729,20191203
11/7/2000,Snyder__PA,Bush,republican,0.697998598240012,20191203
11/7/2000,Snyder__PA,Nader,green,0.021104275367962,20191203
11/7/2000,Snyder__PA,Other,NA,0.00552916439529632,20191203
11/7/2000,Socorro__NM,Gore,democrat,0.482566656900088,20191203
11/7/2000,Socorro__NM,Bush,republican,0.464840316437152,20191203
11/7/2000,Socorro__NM,Nader,green,0.0408731321418107,20191203
11/7/2000,Socorro__NM,Other,NA,0.0117198945209493,20191203
11/7/2000,Solano__CA,Gore,democrat,0.570205336470945,20191203
11/7/2000,Solano__CA,Bush,republican,0.391725813185562,20191203
11/7/2000,Solano__CA,Nader,green,0.0293695676927164,20191203
11/7/2000,Solano__CA,Other,NA,0.00869928265077618,20191203
11/7/2000,Somerset__MD,Gore,democrat,0.497764334560757,20191203
11/7/2000,Somerset__MD,Bush,republican,0.474618621778012,20191203
11/7/2000,Somerset__MD,Nader,green,0.0186743819042609,20191203
11/7/2000,Somerset__MD,Other,NA,0.00894266175697002,20191203
11/7/2000,Somerset__ME,Gore,democrat,0.481733539309423,20191203
11/7/2000,Somerset__ME,Bush,republican,0.446077408041418,20191203
11/7/2000,Somerset__ME,Nader,green,0.0517306166757129,20191203
11/7/2000,Somerset__ME,Other,NA,0.0204584359734458,20191203
11/7/2000,Somerset__NJ,Gore,democrat,0.467132425629481,20191203
11/7/2000,Somerset__NJ,Bush,republican,0.496149596683752,20191203
11/7/2000,Somerset__NJ,Nader,green,0.0313681184943968,20191203
11/7/2000,Somerset__NJ,Other,NA,0.00534985919237064,20191203
11/7/2000,Somerset__PA,Gore,democrat,0.364650598757011,20191203
11/7/2000,Somerset__PA,Bush,republican,0.612945278156738,20191203
11/7/2000,Somerset__PA,Nader,green,0.014764286797029,20191203
11/7/2000,Somerset__PA,Other,NA,0.00763983628922237,20191203
11/7/2000,Somervell__TX,Gore,democrat,0.257710760795065,20191203
11/7/2000,Somervell__TX,Bush,republican,0.726525017135024,20191203
11/7/2000,Somervell__TX,Nader,green,0.0126799177518849,20191203
11/7/2000,Somervell__TX,Other,NA,0.00308430431802605,20191203
11/7/2000,Sonoma__CA,Gore,democrat,0.595387957727176,20191203
11/7/2000,Sonoma__CA,Bush,republican,0.322472412007756,20191203
11/7/2000,Sonoma__CA,Nader,green,0.072708445428058,20191203
11/7/2000,Sonoma__CA,Other,NA,0.00943118483701004,20191203
11/7/2000,Southampton__VA,Gore,democrat,0.500297885016384,20191203
11/7/2000,Southampton__VA,Bush,republican,0.490467679475722,20191203
11/7/2000,Southampton__VA,Nader,green,0.00655347036044087,20191203
11/7/2000,Southampton__VA,Other,NA,0.00268096514745308,20191203
11/7/2000,Spalding__GA,Gore,democrat,0.37885777402378,20191203
11/7/2000,Spalding__GA,Bush,republican,0.602365018517315,20191203
11/7/2000,Spalding__GA,Nader,green,0.000519784289519849,20191203
11/7/2000,Spalding__GA,Other,NA,0.0182574231693847,20191203
11/7/2000,Spartanburg__SC,Gore,democrat,0.353775447919285,20191203
11/7/2000,Spartanburg__SC,Bush,republican,0.623723863894773,20191203
11/7/2000,Spartanburg__SC,Nader,green,0.0137637188371453,20191203
11/7/2000,Spartanburg__SC,Other,NA,0.00873696934879657,20191203
11/7/2000,Spencer__IN,Gore,democrat,0.41749193279181,20191203
11/7/2000,Spencer__IN,Bush,republican,0.567041281851563,20191203
11/7/2000,Spencer__IN,Nader,green,0.00467341715811728,20191203
11/7/2000,Spencer__IN,Other,NA,0.010793368198509,20191203
11/7/2000,Spencer__KY,Gore,democrat,0.325649622799665,20191203
11/7/2000,Spencer__KY,Bush,republican,0.660100586756077,20191203
11/7/2000,Spencer__KY,Nader,green,0.00733445096395641,20191203
11/7/2000,Spencer__KY,Other,NA,0.00691533948030176,20191203
11/7/2000,Spink__SD,Gore,democrat,0.387941534713764,20191203
11/7/2000,Spink__SD,Bush,republican,0.595919610231425,20191203
11/7/2000,Spink__SD,Nader,green,,20191203
11/7/2000,Spink__SD,Other,NA,0.0161388550548112,20191203
11/7/2000,Spokane__WA,Gore,democrat,0.433519864721162,20191203
11/7/2000,Spokane__WA,Bush,republican,0.518911725909268,20191203
11/7/2000,Spokane__WA,Nader,green,0.0363184166332537,20191203
11/7/2000,Spokane__WA,Other,NA,0.0112499927363167,20191203
11/7/2000,Spotsylvania__VA,Gore,democrat,0.384198052597013,20191203
11/7/2000,Spotsylvania__VA,Bush,republican,0.592187544616087,20191203
11/7/2000,Spotsylvania__VA,Nader,green,0.0167328174523857,20191203
11/7/2000,Spotsylvania__VA,Other,NA,0.00688158533451358,20191203
11/7/2000,St._Bernard__LA,Gore,democrat,0.408161839208972,20191203
11/7/2000,St._Bernard__LA,Bush,republican,0.567939624751057,20191203
11/7/2000,St._Bernard__LA,Nader,green,0.0138709339296321,20191203
11/7/2000,St._Bernard__LA,Other,NA,0.0100276021103386,20191203
11/7/2000,St._Charles__LA,Gore,democrat,0.414597861459786,20191203
11/7/2000,St._Charles__LA,Bush,republican,0.556996745699675,20191203
11/7/2000,St._Charles__LA,Nader,green,0.0099953509995351,20191203
11/7/2000,St._Charles__LA,Other,NA,0.0184100418410042,20191203
11/7/2000,St._Charles__MO,Gore,democrat,0.418118521051241,20191203
11/7/2000,St._Charles__MO,Bush,republican,0.560387299317719,20191203
11/7/2000,St._Charles__MO,Nader,green,0.014764620860078,20191203
11/7/2000,St._Charles__MO,Other,NA,0.00672955877096188,20191203
11/7/2000,St._Clair__AL,Gore,democrat,0.269198837691988,20191203
11/7/2000,St._Clair__AL,Bush,republican,0.710543794105438,20191203
11/7/2000,St._Clair__AL,Nader,green,0.00917393109173931,20191203
11/7/2000,St._Clair__AL,Other,NA,0.0110834371108344,20191203
11/7/2000,St._Clair__IL,Gore,democrat,0.557419341985995,20191203
11/7/2000,St._Clair__IL,Bush,republican,0.421334156763918,20191203
11/7/2000,St._Clair__IL,Nader,green,0.0156285796818503,20191203
11/7/2000,St._Clair__IL,Other,NA,0.00561792156823683,20191203
11/7/2000,St._Clair__MI,Gore,democrat,0.481668515383268,20191203
11/7/2000,St._Clair__MI,Bush,republican,0.489973144958842,20191203
11/7/2000,St._Clair__MI,Nader,green,0.0195720707571954,20191203
11/7/2000,St._Clair__MI,Other,NA,0.00878626890069473,20191203
11/7/2000,St._Clair__MO,Gore,democrat,0.393753956530914,20191203
11/7/2000,St._Clair__MO,Bush,republican,0.576281916016037,20191203
11/7/2000,St._Clair__MO,Nader,green,0.0168811985650981,20191203
11/7/2000,St._Clair__MO,Other,NA,0.013082928887951,20191203
11/7/2000,St._Croix__WI,Gore,democrat,0.436569406423182,20191203
11/7/2000,St._Croix__WI,Bush,republican,0.508780129531949,20191203
11/7/2000,St._Croix__WI,Nader,green,0.045703411898244,20191203
11/7/2000,St._Croix__WI,Other,NA,0.00894705214662482,20191203
11/7/2000,St._Francis__AR,Gore,democrat,0.586864406779661,20191203
11/7/2000,St._Francis__AR,Bush,republican,0.40183615819209,20191203
11/7/2000,St._Francis__AR,Nader,green,0.00494350282485876,20191203
11/7/2000,St._Francis__AR,Other,NA,0.00635593220338983,20191203
11/7/2000,St._Francois__MO,Gore,democrat,0.481662332147975,20191203
11/7/2000,St._Francois__MO,Bush,republican,0.495037418396051,20191203
11/7/2000,St._Francois__MO,Nader,green,0.0140650708561117,20191203
11/7/2000,St._Francois__MO,Other,NA,0.009235178599862,20191203
11/7/2000,St._Helena__LA,Gore,democrat,0.582223068138561,20191203
11/7/2000,St._Helena__LA,Bush,republican,0.374000761324705,20191203
11/7/2000,St._Helena__LA,Nader,green,0.0123715264560335,20191203
11/7/2000,St._Helena__LA,Other,NA,0.0314046440807004,20191203
11/7/2000,St._James__LA,Gore,democrat,0.609341429238674,20191203
11/7/2000,St._James__LA,Bush,republican,0.356188696870621,20191203
11/7/2000,St._James__LA,Nader,green,0.00569827183559085,20191203
11/7/2000,St._James__LA,Other,NA,0.0287716020551144,20191203
11/7/2000,St._John_the_Baptist__LA,Gore,democrat,0.550160898774911,20191203
11/7/2000,St._John_the_Baptist__LA,Bush,republican,0.41907073900525,20191203
11/7/2000,St._John_the_Baptist__LA,Nader,green,0.00925873652119912,20191203
11/7/2000,St._John_the_Baptist__LA,Other,NA,0.0215096256986394,20191203
11/7/2000,St._Johns__FL,Gore,democrat,0.321041714680802,20191203
11/7/2000,St._Johns__FL,Bush,republican,0.6510058275442,20191203
11/7/2000,St._Johns__FL,Nader,green,0.0200342409376749,20191203
11/7/2000,St._Johns__FL,Other,NA,0.00791821683732262,20191203
11/7/2000,St._Joseph__IN,Gore,democrat,0.48939204300634,20191203
11/7/2000,St._Joseph__IN,Bush,republican,0.488140427190841,20191203
11/7/2000,St._Joseph__IN,Nader,green,0.00928452715595954,20191203
11/7/2000,St._Joseph__IN,Other,NA,0.0131830026468597,20191203
11/7/2000,St._Joseph__MI,Gore,democrat,0.389302579004722,20191203
11/7/2000,St._Joseph__MI,Bush,republican,0.585997094079186,20191203
11/7/2000,St._Joseph__MI,Nader,green,0.0197057755176171,20191203
11/7/2000,St._Joseph__MI,Other,NA,0.00499455139847439,20191203
11/7/2000,St._Landry__LA,Gore,democrat,0.529032824807473,20191203
11/7/2000,St._Landry__LA,Bush,republican,0.452373283359199,20191203
11/7/2000,St._Landry__LA,Nader,green,0.00658838687007701,20191203
11/7/2000,St._Landry__LA,Other,NA,0.0120055049632514,20191203
11/7/2000,St._Lawrence__NY,Gore,democrat,0.537620352447271,20191203
11/7/2000,St._Lawrence__NY,Bush,republican,0.413509640765228,20191203
11/7/2000,St._Lawrence__NY,Nader,green,0.0374066718620378,20191203
11/7/2000,St._Lawrence__NY,Other,NA,0.0114633349254632,20191203
11/7/2000,St._Louis_City__MO,Gore,democrat,0.773991599333077,20191203
11/7/2000,St._Louis_City__MO,Bush,republican,0.198786392202129,20191203
11/7/2000,St._Louis_City__MO,Nader,green,0.0207772220084648,20191203
11/7/2000,St._Louis_City__MO,Other,NA,0.00644478645632936,20191203
11/7/2000,St._Louis_County__MO,Gore,democrat,0.514765323978607,20191203
11/7/2000,St._Louis_County__MO,Bush,republican,0.461483638813352,20191203
11/7/2000,St._Louis_County__MO,Nader,green,0.0174045563214236,20191203
11/7/2000,St._Louis_County__MO,Other,NA,0.00634648088661776,20191203
11/7/2000,St._Lucie__FL,Gore,democrat,0.532882842452141,20191203
11/7/2000,St._Lucie__FL,Bush,republican,0.444998653656285,20191203
11/7/2000,St._Lucie__FL,Nader,green,0.0175409352601008,20191203
11/7/2000,St._Lucie__FL,Other,NA,0.00457756863147367,20191203
11/7/2000,St._Martin__LA,Gore,democrat,0.474203484454712,20191203
11/7/2000,St._Martin__LA,Bush,republican,0.479401289825777,20191203
11/7/2000,St._Martin__LA,Nader,green,0.0128982577726441,20191203
11/7/2000,St._Martin__LA,Other,NA,0.0334969679468669,20191203
11/7/2000,St._Mary__LA,Gore,democrat,0.451673544245759,20191203
11/7/2000,St._Mary__LA,Bush,republican,0.519257221458047,20191203
11/7/2000,St._Mary__LA,Nader,green,0.00981201283814764,20191203
11/7/2000,St._Mary__LA,Other,NA,0.0192572214580468,20191203
11/7/2000,St._Mary_s__MD,Gore,democrat,0.403782922612793,20191203
11/7/2000,St._Mary_s__MD,Bush,republican,0.571370462018237,20191203
11/7/2000,St._Mary_s__MD,Nader,green,0.01925358462425,20191203
11/7/2000,St._Mary_s__MD,Other,NA,0.00559303074472052,20191203
11/7/2000,St._Tammany__LA,Gore,democrat,0.27134958262178,20191203
11/7/2000,St._Tammany__LA,Bush,republican,0.706891816043087,20191203
11/7/2000,St._Tammany__LA,Nader,green,0.0143186405053919,20191203
11/7/2000,St._Tammany__LA,Other,NA,0.00743996082974074,20191203
11/7/2000,Stafford__KS,Gore,democrat,0.257727272727273,20191203
11/7/2000,Stafford__KS,Bush,republican,0.702727272727273,20191203
11/7/2000,Stafford__KS,Nader,green,0.0245454545454545,20191203
11/7/2000,Stafford__KS,Other,NA,0.015,20191203
11/7/2000,Stafford__VA,Gore,democrat,0.367809379197571,20191203
11/7/2000,Stafford__VA,Bush,republican,0.605355369970215,20191203
11/7/2000,Stafford__VA,Nader,green,0.0191847223033347,20191203
11/7/2000,Stafford__VA,Other,NA,0.00765052852887929,20191203
11/7/2000,Stanislaus__CA,Gore,democrat,0.440082016418876,20191203
11/7/2000,Stanislaus__CA,Bush,republican,0.523813607552995,20191203
11/7/2000,Stanislaus__CA,Nader,green,0.0264916151465303,20191203
11/7/2000,Stanislaus__CA,Other,NA,0.00961276088159854,20191203
11/7/2000,Stanley__SD,Gore,democrat,0.291093410572049,20191203
11/7/2000,Stanley__SD,Bush,republican,0.691527878349022,20191203
11/7/2000,Stanley__SD,Nader,green,,20191203
11/7/2000,Stanley__SD,Other,NA,0.0173787110789283,20191203
11/7/2000,Stanly__NC,Gore,democrat,0.309667806117977,20191203
11/7/2000,Stanly__NC,Bush,republican,0.681391883600666,20191203
11/7/2000,Stanly__NC,Nader,green,,20191203
11/7/2000,Stanly__NC,Other,NA,0.00894031028135682,20191203
11/7/2000,Stanton__KS,Gore,democrat,0.208940719144801,20191203
11/7/2000,Stanton__KS,Bush,republican,0.76287657920311,20191203
11/7/2000,Stanton__KS,Nader,green,0.0155490767735666,20191203
11/7/2000,Stanton__KS,Other,NA,0.0126336248785228,20191203
11/7/2000,Stanton__NE,Gore,democrat,0.201126307320998,20191203
11/7/2000,Stanton__NE,Bush,republican,0.762268704746581,20191203
11/7/2000,Stanton__NE,Nader,green,0.0213193885760257,20191203
11/7/2000,Stanton__NE,Other,NA,0.0152855993563958,20191203
11/7/2000,Stark__IL,Gore,democrat,0.405152224824356,20191203
11/7/2000,Stark__IL,Bush,republican,0.566744730679157,20191203
11/7/2000,Stark__IL,Nader,green,0.0184008029441285,20191203
11/7/2000,Stark__IL,Other,NA,0.00970224155235865,20191203
11/7/2000,Stark__ND,Gore,democrat,0.284749923289353,20191203
11/7/2000,Stark__ND,Bush,republican,0.653267873580853,20191203
11/7/2000,Stark__ND,Nader,green,0.0307865398383962,20191203
11/7/2000,Stark__ND,Other,NA,0.0311956632913982,20191203
11/7/2000,Stark__OH,Gore,democrat,0.471134355997097,20191203
11/7/2000,Stark__OH,Bush,republican,0.488932959635645,20191203
11/7/2000,Stark__OH,Nader,green,0.0252245939791297,20191203
11/7/2000,Stark__OH,Other,NA,0.0147080903881284,20191203
11/7/2000,Starke__IN,Gore,democrat,0.475347661188369,20191203
11/7/2000,Starke__IN,Bush,republican,0.499827606022296,20191203
11/7/2000,Starke__IN,Nader,green,0.00310309159866682,20191203
11/7/2000,Starke__IN,Other,NA,0.0217216411906677,20191203
11/7/2000,Starr__TX,Gore,democrat,0.768549149338374,20191203
11/7/2000,Starr__TX,Bush,republican,0.2257797731569,20191203
11/7/2000,Starr__TX,Nader,green,0.00224480151228733,20191203
11/7/2000,Starr__TX,Other,NA,0.00342627599243856,20191203
11/7/2000,Staunton__VA,Gore,democrat,0.390415785764623,20191203
11/7/2000,Staunton__VA,Bush,republican,0.572938689217759,20191203
11/7/2000,Staunton__VA,Nader,green,0.0326521024195443,20191203
11/7/2000,Staunton__VA,Other,NA,0.00399342259807376,20191203
11/7/2000,Ste._Genevieve__MO,Gore,democrat,0.492408699220353,20191203
11/7/2000,Ste._Genevieve__MO,Bush,republican,0.479414580768705,20191203
11/7/2000,Ste._Genevieve__MO,Nader,green,0.0173710846669402,20191203
11/7/2000,Ste._Genevieve__MO,Other,NA,0.0108056353440022,20191203
11/7/2000,Stearns__MN,Gore,democrat,0.396952429733017,20191203
11/7/2000,Stearns__MN,Bush,republican,0.518631154363275,20191203
11/7/2000,Stearns__MN,Nader,green,0.0611434790959729,20191203
11/7/2000,Stearns__MN,Other,NA,0.0232729368077342,20191203
11/7/2000,Steele__MN,Gore,democrat,0.429478401593427,20191203
11/7/2000,Steele__MN,Bush,republican,0.511826216855471,20191203
11/7/2000,Steele__MN,Nader,green,0.0433835428855969,20191203
11/7/2000,Steele__MN,Other,NA,0.0153118386655048,20191203
11/7/2000,Steele__ND,Gore,democrat,0.392561983471074,20191203
11/7/2000,Steele__ND,Bush,republican,0.541322314049587,20191203
11/7/2000,Steele__ND,Nader,green,0.0231404958677686,20191203
11/7/2000,Steele__ND,Other,NA,0.0429752066115702,20191203
11/7/2000,Stephens__GA,Gore,democrat,0.342526265520535,20191203
11/7/2000,Stephens__GA,Bush,republican,0.641117478510029,20191203
11/7/2000,Stephens__GA,Nader,green,0.00107449856733524,20191203
11/7/2000,Stephens__GA,Other,NA,0.0152817574021012,20191203
11/7/2000,Stephens__OK,Gore,democrat,0.369796431838975,20191203
11/7/2000,Stephens__OK,Bush,republican,0.62099725526075,20191203
11/7/2000,Stephens__OK,Nader,green,,20191203
11/7/2000,Stephens__OK,Other,NA,0.00920631290027447,20191203
11/7/2000,Stephens__TX,Gore,democrat,0.246429656639319,20191203
11/7/2000,Stephens__TX,Bush,republican,0.736858097842601,20191203
11/7/2000,Stephens__TX,Nader,green,0.00972348830142814,20191203
11/7/2000,Stephens__TX,Other,NA,0.00698875721665147,20191203
11/7/2000,Stephenson__IL,Gore,democrat,0.416038806894416,20191203
11/7/2000,Stephenson__IL,Bush,republican,0.552946640520178,20191203
11/7/2000,Stephenson__IL,Nader,green,0.024563938486944,20191203
11/7/2000,Stephenson__IL,Other,NA,0.00645061409846217,20191203
11/7/2000,Sterling__TX,Gore,democrat,0.200303490136571,20191203
11/7/2000,Sterling__TX,Bush,republican,0.78907435508346,20191203
11/7/2000,Sterling__TX,Nader,green,0.00455235204855842,20191203
11/7/2000,Sterling__TX,Other,NA,0.00606980273141123,20191203
11/7/2000,Steuben__IN,Gore,democrat,0.363837900150749,20191203
