date,region,candidate,party,voteshare,version
11/7/2000,Addison__VT,Other,NA,0.0189935158088024,20191203
11/7/2000,Aiken__SC,Gore,democrat,0.323126304596117,20191203
11/7/2000,Aiken__SC,Bush,republican,0.653834035681935,20191203
11/7/2000,Aiken__SC,Nader,green,0.0133118033949037,20191203
11/7/2000,Aiken__SC,Other,NA,0.00972785632704502,20191203
11/7/2000,Aitkin__MN,Gore,democrat,0.463680387409201,20191203
11/7/2000,Aitkin__MN,Bush,republican,0.454600484261501,20191203
11/7/2000,Aitkin__MN,Nader,green,0.0487893462469734,20191203
11/7/2000,Aitkin__MN,Other,NA,0.0329297820823245,20191203
11/7/2000,Alachua__FL,Gore,democrat,0.552496821378997,20191203
11/7/2000,Alachua__FL,Bush,republican,0.39804500227461,20191203
11/7/2000,Alachua__FL,Nader,green,0.0376302068144968,20191203
11/7/2000,Alachua__FL,Other,NA,0.011827969531897,20191203
11/7/2000,Alamance__NC,Gore,democrat,0.370750249516893,20191203
11/7/2000,Alamance__NC,Bush,republican,0.622305748444501,20191203
11/7/2000,Alamance__NC,Nader,green,,20191203
11/7/2000,Alamance__NC,Other,NA,0.0069440020386061,20191203
11/7/2000,Alameda__CA,Gore,democrat,0.693635502977732,20191203
11/7/2000,Alameda__CA,Bush,republican,0.241291348394614,20191203
11/7/2000,Alameda__CA,Nader,green,0.0556281557483169,20191203
11/7/2000,Alameda__CA,Other,NA,0.00944499287933713,20191203
11/7/2000,Alamosa__CO,Gore,democrat,0.433822230075985,20191203
11/7/2000,Alamosa__CO,Bush,republican,0.504859515815515,20191203
11/7/2000,Alamosa__CO,Nader,green,0.0468280614949638,20191203
11/7/2000,Alamosa__CO,Other,NA,0.014490192613536,20191203
11/7/2000,Albany__NY,Gore,democrat,0.603068275468588,20191203
11/7/2000,Albany__NY,Bush,republican,0.335453514499644,20191203
11/7/2000,Albany__NY,Nader,green,0.0505885087589544,20191203
11/7/2000,Albany__NY,Other,NA,0.0108897012728131,20191203
11/7/2000,Albany__WY,Gore,democrat,0.358207900501731,20191203
11/7/2000,Albany__WY,Bush,republican,0.552187124584835,20191203
11/7/2000,Albany__WY,Nader,green,0.0698183873931171,20191203
11/7/2000,Albany__WY,Other,NA,0.0197865875203166,20191203
11/7/2000,Albemarle__VA,Gore,democrat,0.441160505889377,20191203
11/7/2000,Albemarle__VA,Bush,republican,0.496417521576291,20191203
11/7/2000,Albemarle__VA,Nader,green,0.0554469956033219,20191203
11/7/2000,Albemarle__VA,Other,NA,0.00697497693101015,20191203
11/7/2000,Alcona__MI,Gore,democrat,0.449558112389528,20191203
11/7/2000,Alcona__MI,Bush,republican,0.525596131399033,20191203
11/7/2000,Alcona__MI,Nader,green,0.0206770051692513,20191203
11/7/2000,Alcona__MI,Other,NA,0.00416875104218776,20191203
11/7/2000,Alcorn__MS,Gore,democrat,0.400300680487419,20191203
11/7/2000,Alcorn__MS,Bush,republican,0.57398322519386,20191203
11/7/2000,Alcorn__MS,Nader,green,0.00799177084981801,20191203
11/7/2000,Alcorn__MS,Other,NA,0.0177243234689033,20191203
11/7/2000,Alexander__IL,Gore,democrat,0.586026852312282,20191203
11/7/2000,Alexander__IL,Bush,republican,0.394828443560418,20191203
11/7/2000,Alexander__IL,Nader,green,0.0069617105917454,20191203
11/7/2000,Alexander__IL,Other,NA,0.0121829935355545,20191203
11/7/2000,Alexander__NC,Gore,democrat,0.308775570708568,20191203
11/7/2000,Alexander__NC,Bush,republican,0.684998517640083,20191203
11/7/2000,Alexander__NC,Nader,green,,20191203
11/7/2000,Alexander__NC,Other,NA,0.00622591165134895,20191203
11/7/2000,Alexandria__VA,Gore,democrat,0.609304516386166,20191203
11/7/2000,Alexandria__VA,Bush,republican,0.344988133843004,20191203
11/7/2000,Alexandria__VA,Nader,green,0.0379354698454682,20191203
11/7/2000,Alexandria__VA,Other,NA,0.00777187992536097,20191203
11/7/2000,Alfalfa__OK,Gore,democrat,0.232548863183087,20191203
11/7/2000,Alfalfa__OK,Bush,republican,0.752293577981651,20191203
11/7/2000,Alfalfa__OK,Nader,green,,20191203
11/7/2000,Alfalfa__OK,Other,NA,0.0151575588352613,20191203
11/7/2000,Alger__MI,Gore,democrat,0.474347228584517,20191203
11/7/2000,Alger__MI,Bush,republican,0.490609253321118,20191203
11/7/2000,Alger__MI,Nader,green,0.0288593678424187,20191203
11/7/2000,Alger__MI,Other,NA,0.00618415025194686,20191203
11/7/2000,Allamakee__IA,Gore,democrat,0.446146703806871,20191203
11/7/2000,Allamakee__IA,Bush,republican,0.507118539151965,20191203
11/7/2000,Allamakee__IA,Nader,green,0.0307954193748066,20191203
11/7/2000,Allamakee__IA,Other,NA,0.0159393376663572,20191203
11/7/2000,Allegan__MI,Gore,democrat,0.345169410349513,20191203
11/7/2000,Allegan__MI,Bush,republican,0.6281214497338,20191203
11/7/2000,Allegan__MI,Nader,green,0.020716847474995,20191203
11/7/2000,Allegan__MI,Other,NA,0.0059922924416921,20191203
11/7/2000,Allegany__MD,Gore,democrat,0.413105305069963,20191203
11/7/2000,Allegany__MD,Bush,republican,0.555762011300292,20191203
11/7/2000,Allegany__MD,Nader,green,0.0231314701755717,20191203
11/7/2000,Allegany__MD,Other,NA,0.00800121345417314,20191203
11/7/2000,Allegany__NY,Gore,democrat,0.339022954679223,20191203
11/7/2000,Allegany__NY,Bush,republican,0.611910749638825,20191203
11/7/2000,Allegany__NY,Nader,green,0.0351543688800899,20191203
11/7/2000,Allegany__NY,Other,NA,0.0139119268018621,20191203
11/7/2000,Alleghany__NC,Gore,democrat,0.397635056805008,20191203
11/7/2000,Alleghany__NC,Bush,republican,0.586830512404359,20191203
11/7/2000,Alleghany__NC,Nader,green,,20191203
11/7/2000,Alleghany__NC,Other,NA,0.015534430790633,20191203
