date,region,state_po,special,runoff,offyear,candidate,party,writein,voteshare,
11/04/1980,Missouri,MO,FALSE,FALSE,FALSE,Teasdale,democratic,FALSE,0.470244877101685,
11/04/1980,Missouri,MO,FALSE,FALSE,FALSE,Bond,republican,FALSE,0.5263102440725140,
11/04/1980,Utah,UT,FALSE,FALSE,FALSE,Topham,american,FALSE,0.004111536468011850,
11/04/1980,Utah,UT,FALSE,FALSE,FALSE,Wright,republican,FALSE,0.4442825977177390,
11/04/1980,Utah,UT,FALSE,FALSE,FALSE,Matheson,democratic,FALSE,0.5516058658142490,
11/04/1980,Vermont,VT,FALSE,FALSE,FALSE,Potthast,liberty union,FALSE,0.009302148262518820,
11/04/1980,Vermont,VT,FALSE,FALSE,FALSE,Cullen,independent,FALSE,0.0107842015973771,
11/04/1980,Vermont,VT,FALSE,FALSE,FALSE,Woodward,independent,FALSE,0.025366462705628900,
11/04/1980,Vermont,VT,FALSE,FALSE,FALSE,Diamond,democratic,FALSE,0.36611006271325400,
11/04/1980,Vermont,VT,FALSE,FALSE,FALSE,Snelling,republican,FALSE,0.5872409980747600,
11/04/1980,Rhode Island,RI,FALSE,FALSE,FALSE,Cianci,republican,FALSE,0.2629421314944700,
11/04/1980,Rhode Island,RI,FALSE,FALSE,FALSE,Garrahy,democratic,FALSE,0.7370578685055300,
11/04/1980,Delaware,DE,FALSE,FALSE,FALSE,Levy,libertarian,FALSE,0.00806537620647363,
11/04/1980,Delaware,DE,FALSE,FALSE,FALSE,Gordy,democratic,FALSE,0.28536323077196500,
11/04/1980,Delaware,DE,FALSE,FALSE,FALSE,du Pont,republican,FALSE,0.706571393021561,
11/04/1980,Indiana,IN,FALSE,FALSE,FALSE,Artist,american,FALSE,0.0036283460865597400,
11/04/1980,Indiana,IN,FALSE,FALSE,FALSE,Hillenbrand,democratic,FALSE,0.419167619581868,
11/04/1980,Indiana,IN,FALSE,FALSE,FALSE,Orr,republican,FALSE,0.5772040343315720,
11/04/1980,Washington,WA,FALSE,FALSE,FALSE,McDermott,democratic,FALSE,0.4331935598672600,
11/04/1980,Washington,WA,FALSE,FALSE,FALSE,Spellman,republican,FALSE,0.5668064401327410,
11/04/1980,Montana,MT,FALSE,FALSE,FALSE,Ramirez,republican,FALSE,0.4463444541232740,
11/04/1980,Montana,MT,FALSE,FALSE,FALSE,Schwinden,democratic,FALSE,0.5536555458767260,
11/04/1980,New Hampshire,NH,FALSE,FALSE,FALSE,Pinnaird,libertarian,FALSE,0.0034320146029877800,
11/04/1980,New Hampshire,NH,FALSE,FALSE,FALSE,Thomson,republican,FALSE,0.40668071067179500,
11/04/1980,New Hampshire,NH,FALSE,FALSE,FALSE,Gallen,democratic,FALSE,0.5896294830365260,
11/04/1980,North Dakota,ND,FALSE,FALSE,FALSE,Link,democratic,FALSE,0.46391691257381300,
11/04/1980,North Dakota,ND,FALSE,FALSE,FALSE,Olson,republican,FALSE,0.5360830874261870,
12/31/1980,Connecticut,CT,FALSE,FALSE,TRUE,O'Neill,democratic,FALSE,1.0,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Gould,contempt of court,FALSE,0.0006913399955723170,
11/03/1981,New Jersey,NJ,FALSE,FALSE,FALSE,Pellerino,law & order,FALSE,0.0007107596583692920,
